temp_bucket,is_taxi,count
,1,1442
5.0,1,172504
5.0,0,11815
10.0,1,201215
10.0,0,14332
15.0,1,536779
15.0,0,46285
20.0,1,989351
20.0,0,110933
25.0,1,3092201
25.0,0,439058
30.0,1,5185598
30.0,0,682208
35.0,1,8466252
35.0,0,1329473
40.0,1,7946847
40.0,0,1294086
45.0,1,6826094
45.0,0,1251663
50.0,1,5571980
50.0,0,1199624
55.0,1,6996679
55.0,0,1691484
60.0,1,7236289
60.0,0,2003693
65.0,1,6671570
65.0,0,2058404
70.0,1,7799660
70.0,0,2562218
75.0,1,7924418
75.0,0,2766351
80.0,1,4940405
80.0,0,1694324
85.0,1,3133103
85.0,0,1095532
90.0,1,785035
90.0,0,267013
95.0,1,121022
95.0,0,33021
