LocationID,Borough,Zone,service_zone,longitude,latitude
1,EWR,Newark Airport,EWR,-74.17400027276298,40.69183120640149
2,Queens,Jamaica Bay,Boro Zone,-73.83129854302214,40.61674529165988
3,Bronx,Allerton/Pelham Gardens,Boro Zone,-73.84742223236718,40.86447368477543
4,Manhattan,Alphabet City,Yellow Zone,-73.97696825691767,40.72375214158478
5,Staten Island,Arden Heights,Boro Zone,-74.18848410184931,40.552659286945655
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,-74.07177055895137,40.60032414603462
7,Queens,Astoria,Boro Zone,-73.91969431946073,40.76149256216376
8,Queens,Astoria Park,Boro Zone,-73.9230861575075,40.778558653750714
9,Queens,Auburndale,Boro Zone,-73.7879488777789,40.751035025572364
10,Queens,Baisley Park,Boro Zone,-73.79098635986959,40.67895331011525
11,Brooklyn,Bath Beach,Boro Zone,-74.00748815801178,40.60427284003079
12,Manhattan,Battery Park,Yellow Zone,-74.01556351255896,40.702945834984696
13,Manhattan,Battery Park City,Yellow Zone,-74.01607915192938,40.712038157074545
14,Brooklyn,Bay Ridge,Boro Zone,-74.0298923741879,40.62483492360817
15,Queens,Bay Terrace/Fort Totten,Boro Zone,-73.78597227877711,40.78333304726102
16,Queens,Bayside,Boro Zone,-73.77342181890141,40.76273837544241
17,Brooklyn,Bedford,Boro Zone,-73.9499050350751,40.691507494880625
18,Bronx,Bedford Park,Boro Zone,-73.89018328872034,40.86768245607538
19,Queens,Bellerose,Boro Zone,-73.72665537528707,40.73548677976333
20,Bronx,Belmont,Boro Zone,-73.8858674810697,40.85777967544162
21,Brooklyn,Bensonhurst East,Boro Zone,-73.98353709672227,40.601429439835165
22,Brooklyn,Bensonhurst West,Boro Zone,-73.99525857986234,40.612218257805644
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,-74.17088688155235,40.60644770102743
24,Manhattan,Bloomingdale,Yellow Zone,-73.96547951516968,40.80197049389964
25,Brooklyn,Boerum Hill,Boro Zone,-73.98611382213659,40.685633741320636
26,Brooklyn,Borough Park,Boro Zone,-73.98866123078287,40.630949655245495
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,-73.90690832237574,40.55913327946748
28,Queens,Briarwood/Jamaica Hills,Boro Zone,-73.80872901637521,40.7115963579451
29,Brooklyn,Brighton Beach,Boro Zone,-73.9612167686685,40.58092197193379
30,Queens,Broad Channel,Boro Zone,-73.82192695679416,40.60368744213562
31,Bronx,Bronx Park,Boro Zone,-73.87547595053036,40.85774668091587
32,Bronx,Bronxdale,Boro Zone,-73.86490099876715,40.864002206023585
33,Brooklyn,Brooklyn Heights,Boro Zone,-73.99525011996624,40.69579822121125
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,-73.97118869233036,40.70085573851709
35,Brooklyn,Brownsville,Boro Zone,-73.91025783136129,40.664003117925944
36,Brooklyn,Bushwick North,Boro Zone,-73.91771053131575,40.700522199519156
37,Brooklyn,Bushwick South,Boro Zone,-73.92224002165713,40.6949943184421
38,Queens,Cambria Heights,Boro Zone,-73.7355542705883,40.69434146723175
39,Brooklyn,Canarsie,Boro Zone,-73.899734956694,40.6380371391171
40,Brooklyn,Carroll Gardens,Boro Zone,-73.99595619089148,40.679199014097094
41,Manhattan,Central Harlem,Boro Zone,-73.9512920024351,40.8043339497946
42,Manhattan,Central Harlem North,Boro Zone,-73.9407716675627,40.81825786111926
43,Manhattan,Central Park,Yellow Zone,-73.96555356545912,40.78247809974788
44,Staten Island,Charleston/Tottenville,Boro Zone,-74.23353354937639,40.525494581763745
45,Manhattan,Chinatown,Yellow Zone,-73.99815149899052,40.71245931177951
46,Bronx,City Island,Boro Zone,-73.78198714613227,40.84908594313968
47,Bronx,Claremont/Bathgate,Boro Zone,-73.90031590586491,40.84274917609798
48,Manhattan,Clinton East,Yellow Zone,-73.98984464313301,40.76225275531936
49,Brooklyn,Clinton Hill,Boro Zone,-73.96236353818358,40.68796745714742
50,Manhattan,Clinton West,Yellow Zone,-73.99513522075519,40.7662377250419
51,Bronx,Co-Op City,Boro Zone,-73.82826367307189,40.87397305492025
52,Brooklyn,Cobble Hill,Boro Zone,-73.99672403175191,40.68665124165606
53,Queens,College Point,Boro Zone,-73.8428134954316,40.780912355791045
54,Brooklyn,Columbia Street,Boro Zone,-74.00291127745285,40.68720074733731
55,Brooklyn,Coney Island,Boro Zone,-73.98794343407205,40.576960753637856
56,Queens,Corona,Boro Zone,-73.85358156034266,40.75181936699948
57,Queens,Corona,Boro Zone,-73.85358156034266,40.75181936699948
58,Bronx,Country Club,Boro Zone,-73.82039319252783,40.84145210068253
59,Bronx,Crotona Park,Boro Zone,-73.8949858849397,40.83855028852789
60,Bronx,Crotona Park East,Boro Zone,-73.88590003419165,40.833990477273886
61,Brooklyn,Crown Heights North,Boro Zone,-73.93928705867964,40.67446941826648
62,Brooklyn,Crown Heights South,Boro Zone,-73.94878853931499,40.66654040578563
63,Brooklyn,Cypress Hills,Boro Zone,-73.87817261050252,40.68383976195104
64,Queens,Douglaston,Boro Zone,-73.7393371499286,40.76061560532149
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,-73.986086004984,40.69533752946116
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,-73.98570161582296,40.70225893882254
67,Brooklyn,Dyker Heights,Boro Zone,-74.0138014874401,40.61961946783514
68,Manhattan,East Chelsea,Yellow Zone,-73.99991742024714,40.74842755506573
69,Bronx,East Concourse/Concourse Village,Boro Zone,-73.91502929553265,40.83141669708519
70,Queens,East Elmhurst,Boro Zone,-73.86839559842024,40.76335220113315
71,Brooklyn,East Flatbush/Farragut,Boro Zone,-73.9379662706169,40.64428817438918
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,-73.9222509740049,40.6523648040774
73,Queens,East Flushing,Boro Zone,-73.80729418212229,40.75410888689295
74,Manhattan,East Harlem North,Boro Zone,-73.93734560812489,40.80116948058649
75,Manhattan,East Harlem South,Boro Zone,-73.94575026755159,40.79001075149541
76,Brooklyn,East New York,Boro Zone,-73.87682061127181,40.66093519655055
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,-73.89536411750326,40.66655893903527
78,Bronx,East Tremont,Boro Zone,-73.88552181587426,40.84496041014609
79,Manhattan,East Village,Yellow Zone,-73.98593745682462,40.72762019590953
80,Brooklyn,East Williamsburg,Boro Zone,-73.93679314491885,40.71536988214352
81,Bronx,Eastchester,Boro Zone,-73.83664334408296,40.88093541148937
82,Queens,Elmhurst,Boro Zone,-73.87711833280913,40.73949564677818
83,Queens,Elmhurst/Maspeth,Boro Zone,-73.89217338112863,40.738323813825986
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,-74.18767433468837,40.52868644656625
85,Brooklyn,Erasmus,Boro Zone,-73.9516231826101,40.64611634689506
86,Queens,Far Rockaway,Boro Zone,-73.75524369679577,40.60243279341666
87,Manhattan,Financial District North,Yellow Zone,-74.00749598562427,40.70680845166583
88,Manhattan,Financial District South,Yellow Zone,-74.01151502922319,40.703357903236146
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,-73.96096824906378,40.63790012347377
90,Manhattan,Flatiron,Yellow Zone,-73.99697141558369,40.7422786290123
91,Brooklyn,Flatlands,Boro Zone,-73.93009701219941,40.626272763336395
92,Queens,Flushing,Boro Zone,-73.82885869884258,40.76110218983439
93,Queens,Flushing Meadows-Corona Park,Boro Zone,-73.84086726234156,40.74067587216071
94,Bronx,Fordham South,Boro Zone,-73.89953593442145,40.85815519618402
95,Queens,Forest Hills,Boro Zone,-73.84766941187517,40.72143227502133
96,Queens,Forest Park/Highland Park,Boro Zone,-73.87155842518158,40.69700061310115
97,Brooklyn,Fort Greene,Boro Zone,-73.97488208618897,40.690786794210915
98,Queens,Fresh Meadows,Boro Zone,-73.77725346665984,40.734462628200944
99,Staten Island,Freshkills Park,Boro Zone,-74.18641851305901,40.57677363548704
100,Manhattan,Garment District,Yellow Zone,-73.9887865991153,40.75351275872571
101,Queens,Glen Oaks,Boro Zone,-73.71102598691238,40.74599381838421
102,Queens,Glendale,Boro Zone,-73.87573576709774,40.703545610762895
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,-74.01907272636844,40.688784238613
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,-74.01907272636844,40.688784238613
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,-74.01907272636844,40.688784238613
106,Brooklyn,Gowanus,Boro Zone,-73.9906472736312,40.673512796860756
107,Manhattan,Gramercy,Yellow Zone,-73.98405213268914,40.73682405761896
108,Brooklyn,Gravesend,Boro Zone,-73.98143115020045,40.58840346529031
109,Staten Island,Great Kills,Boro Zone,-74.15088980760541,40.551862998077084
110,Staten Island,Great Kills Park,Boro Zone,-74.12834244237273,40.54578031659564
111,Brooklyn,Green-Wood Cemetery,Boro Zone,-73.99023450433016,40.652137270419054
112,Brooklyn,Greenpoint,Boro Zone,-73.94954030482211,40.72950628420882
113,Manhattan,Greenwich Village North,Yellow Zone,-73.99430477051165,40.73257907302701
114,Manhattan,Greenwich Village South,Yellow Zone,-73.99738026020042,40.72834039137229
115,Staten Island,Grymes Hill/Clifton,Boro Zone,-74.08783880974957,40.61797137588928
116,Manhattan,Hamilton Heights,Boro Zone,-73.94852173020878,40.827012654925355
117,Queens,Hammels/Arverne,Boro Zone,-73.78962208250061,40.59405875281404
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,-74.13297872511704,40.586554626626274
119,Bronx,Highbridge,Boro Zone,-73.92615723620794,40.837826991698876
120,Manhattan,Highbridge Park,Boro Zone,-73.93018219742835,40.846667748302735
121,Queens,Hillcrest/Pomonok,Boro Zone,-73.80244428186224,40.72833332297309
122,Queens,Hollis,Boro Zone,-73.76113699730598,40.71063928425106
123,Brooklyn,Homecrest,Boro Zone,-73.96433367133902,40.59995429251393
124,Queens,Howard Beach,Boro Zone,-73.8449185843854,40.65824796123047
125,Manhattan,Hudson Sq,Yellow Zone,-74.0074858180095,40.72629041028122
126,Bronx,Hunts Point,Boro Zone,-73.88553752149436,40.81207445859211
127,Manhattan,Inwood,Boro Zone,-73.91930823586206,40.86607500072785
128,Manhattan,Inwood Hill Park,Boro Zone,-73.92436981716106,40.87237880957364
129,Queens,Jackson Heights,Boro Zone,-73.88531724061077,40.757312063039166
130,Queens,Jamaica,Boro Zone,-73.79397965822713,40.704368777455066
131,Queens,Jamaica Estates,Boro Zone,-73.77610076139935,40.72065523874957
132,Queens,JFK Airport,Airports,-73.78653298335013,40.64698489239527
133,Brooklyn,Kensington,Boro Zone,-73.97619898951329,40.640590070674506
134,Queens,Kew Gardens,Boro Zone,-73.82871246597533,40.70805099798806
135,Queens,Kew Gardens Hills,Boro Zone,-73.82119590387472,40.7283776832573
136,Bronx,Kingsbridge Heights,Boro Zone,-73.90591118270504,40.86526419152491
137,Manhattan,Kips Bay,Yellow Zone,-73.97649472376762,40.74043897859643
138,Queens,LaGuardia Airport,Airports,-73.87362864289081,40.77437570593239
139,Queens,Laurelton,Boro Zone,-73.74423435166717,40.677097797909
140,Manhattan,Lenox Hill East,Yellow Zone,-73.95473878380501,40.76548408788982
141,Manhattan,Lenox Hill West,Yellow Zone,-73.95963474149167,40.76694821638321
142,Manhattan,Lincoln Square East,Yellow Zone,-73.9815322063918,40.77363329302705
143,Manhattan,Lincoln Square West,Yellow Zone,-73.98764554944394,40.775965228761
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,-73.99691854183827,40.72088889344528
145,Queens,Long Island City/Hunters Point,Boro Zone,-73.94889145447934,40.74537943399852
146,Queens,Long Island City/Queens Plaza,Boro Zone,-73.9348288892914,40.754242520500306
147,Bronx,Longwood,Boro Zone,-73.89895638182651,40.819675979304925
148,Manhattan,Lower East Side,Yellow Zone,-73.9908962618473,40.718938359380246
149,Brooklyn,Madison,Boro Zone,-73.94813559494116,40.604913595563794
150,Brooklyn,Manhattan Beach,Boro Zone,-73.94362872180574,40.5804732742621
151,Manhattan,Manhattan Valley,Yellow Zone,-73.96816833309244,40.79796199310005
152,Manhattan,Manhattanville,Boro Zone,-73.95378223705626,40.81797514762945
153,Manhattan,Marble Hill,Boro Zone,-73.9103786641058,40.87596780221243
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,-73.90259658693098,40.593570836585
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,-73.91527709386855,40.614590989275726
156,Staten Island,Mariners Harbor,Boro Zone,-74.16723534170745,40.63130769285299
157,Queens,Maspeth,Boro Zone,-73.90232968131367,40.72399507493358
158,Manhattan,Meatpacking/West Village West,Yellow Zone,-74.0089841047853,40.73503540069665
159,Bronx,Melrose South,Boro Zone,-73.91284939799161,40.818259747689844
160,Queens,Middle Village,Boro Zone,-73.88005140814954,40.71833677001369
161,Manhattan,Midtown Center,Yellow Zone,-73.97769793122403,40.75802804352627
162,Manhattan,Midtown East,Yellow Zone,-73.97235594352033,40.75668765218885
163,Manhattan,Midtown North,Yellow Zone,-73.97756868222719,40.76442140578679
164,Manhattan,Midtown South,Yellow Zone,-73.9851563946768,40.748574629356725
165,Brooklyn,Midwood,Boro Zone,-73.95682460583805,40.620924048746254
166,Manhattan,Morningside Heights,Boro Zone,-73.96176359682933,40.8094569611253
167,Bronx,Morrisania/Melrose,Boro Zone,-73.90235177500064,40.82751255686399
168,Bronx,Mott Haven/Port Morris,Boro Zone,-73.91682193806467,40.80734716766531
169,Bronx,Mount Hope,Boro Zone,-73.90512221938546,40.849058377391245
170,Manhattan,Murray Hill,Yellow Zone,-73.97849159965224,40.74774579364388
171,Queens,Murray Hill-Queens,Boro Zone,-73.80954582099437,40.76835162630845
172,Staten Island,New Dorp/Midland Beach,Boro Zone,-74.10501900721479,40.571768892932596
173,Queens,North Corona,Boro Zone,-73.86303754486681,40.7525792391496
